concept,manual_coarse_grained,lemma,wiki_frequency,n_wn_senses,min_wn_sim_wup,poly_type,mipvu_met,wn_abs_conc
noses,3,nose,1741,14,0.10526315789473684,homonyms_only_different_pos,met non-met,abs-conc
winter,3,winter,174503,2,None,homonyms_only_different_pos,non-met,abs
river,3,river,810697,1,1.0,poly,non-met,conc
vinyl,3,vinyl,29592,2,0.3333333333333333,mon,non-met,conc
icicles,-,icicle,233,1,1.0,mon,oov,conc
moon,-,moon,75421,9,0.1111111111111111,poly,non-met,abs-conc-n
basement,-,basement,26654,2,0.7058823529411765,mon,oov,conc
jungles,-,jungle,2128,3,0.16666666666666666,poly,non-met,abs-conc
tile,-,tile,9920,4,0.5555555555555556,homonyms_only_different_pos,oov,conc
ice,-,ice,172988,11,0.18181818181818182,homonyms_only_different_pos,non-met,conc
summertime,-,summertime,2838,1,1.0,mon,oov,abs
lemonade,-,lemonade,1602,1,1.0,poly,non-met,abs
bath,-,bath,34659,7,0.1,homonyms_only_different_pos,non-met,abs-conc-n
water,-,water,586090,10,0.18181818181818182,homonyms_only_different_pos,non-met,abs-conc
fridge,-,fridge,976,1,1.0,mon,non-met,conc
lightning,-,lightning,25437,2,0.625,poly,non-met,abs
beer,-,beer,40202,1,1.0,poly,non-met,abs
countertop,-,countertop,217,1,1.0,oov,oov,conc
puree,-,puree,169,2,None,homonyms_only_different_pos,non-met,conc
sawdust,-,sawdust,1064,1,1.0,mon,oov,abs
meat,-,meat,43469,3,0.15384615384615385,poly,non-met,abs-conc
sorbet,-,sorbet,180,1,1.0,mon,oov,conc
soups,-,soup,2062,4,0.13333333333333333,poly,oov,abs-conc
brew,-,brew,3719,3,0.2,homonyms_only_different_pos,oov,abs
porridge,-,porridge,1617,1,1.0,poly,oov,conc
geysers,-,geyser,747,2,None,poly,oov,conc
biscuit,-,biscuit,3219,2,0.7058823529411765,poly,non-met,conc
fruitcake,-,fruitcake,211,2,0.26666666666666666,poly,oov,conc
coals,-,coal,1334,5,0.18181818181818182,homonyms_only_different_pos,oov,conc
pastry,-,pastry,4000,2,0.375,poly,non-met,conc
firebox,-,firebox,1690,1,1.0,poly,oov,conc
pipes,-,pipe,15488,9,0.11764705882352941,homonyms_only_different_pos,non-met,abs-conc
furnaces,-,furnace,4389,1,1.0,poly,non-met,conc
campfire,-,campfire,1399,1,1.0,mon,oov,abs
recipe,-,recipe,8392,1,1.0,mon,met,abs
embers,-,ember,926,1,1.0,mon,oov,conc
cheesecloth,-,cheesecloth,113,1,1.0,poly,oov,conc
charcoal,-,charcoal,7071,6,0.1111111111111111,poly,oov,abs-conc
utensil,-,utensil,395,1,1.0,poly,oov,conc
vapor,-,vapor,7797,2,0.3076923076923077,oov,oov,abs-conc
pasta,-,pasta,3354,2,0.42857142857142855,mon,non-met,conc
grill,-,grill,6235,4,0.14285714285714285,homonyms_only_different_pos,non-met,conc
tamales,-,tamale,526,2,0.2222222222222222,mon,oov,conc-n
lava,-,lava,15425,1,1.0,poly,oov,abs
fires,-,fire,26906,18,0.1,homonyms_only_different_pos,met non-met,abs-conc
bulb,-,bulb,5847,6,0.11764705882352941,poly,met non-met,abs-conc
garlic,-,garlic,5186,2,0.19047619047619047,mon,non-met,conc
flowerpots,-,flowerpot,109,1,1.0,mon,oov,conc
volcano,-,volcano,16455,2,0.4,mon,oov,abs-conc
snacks,-,snack,3242,2,None,homonyms_only_different_pos,oov,conc
pomade,-,pomade,109,2,None,homonyms_only_different_pos,oov,conc
pancakes,-,pancake,1194,1,1.0,homonyms_only_different_pos,oov,conc
meats,-,meat,3304,3,0.15384615384615385,poly,non-met,abs-conc
syrup,-,syrup,4860,1,1.0,poly,oov,conc
cheese,-,cheese,21839,4,0.2222222222222222,poly,non-met,conc
yogurt,-,yogurt,2506,1,0.875,oov,oov,conc
skillets,-,skillet,101,1,1.0,mon,oov,conc
laundry,-,laundry,6998,2,0.35294117647058826,poly,oov,conc
cookware,-,cookware,729,1,1.0,oov,oov,conc
casserole,-,casserole,378,2,0.23529411764705882,poly,oov,conc
fire,-,fire,324750,18,0.1,homonyms_only_different_pos,met non-met,abs-conc
fondue,-,fondue,237,2,0.875,poly,oov,conc
baguettes,-,baguette,111,1,1.0,oov,oov,conc
cauldron,-,cauldron,2741,1,1.0,mon,met,conc
tubs,-,tub,989,3,0.13333333333333333,poly,non-met,abs-conc
cream,-,cream,29383,8,0.125,homonyms_only_different_pos,non-met,abs-conc
woks,-,wok,115,1,1.0,oov,oov,conc
kitchens,-,kitchen,4408,1,1.0,poly,non-met,conc
condiment,-,condiment,885,1,1.0,mon,oov,conc
toast,-,toast,3839,6,0.125,homonyms_also_same_pos,non-met,abs-conc
soot,-,soot,1674,2,None,homonyms_only_different_pos,oov,abs
cupcake,-,cupcake,513,1,1.0,oov,oov,conc
juice,-,juice,12735,4,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
juices,-,juice,1969,4,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
freezer,-,freezer,1453,1,1.0,poly,oov,conc
glass,-,glass,102855,12,0.09523809523809523,poly,non-met,abs-conc
beans,-,bean,12600,5,0.2,poly,met non-met,conc
popcorn,-,popcorn,2420,2,0.17391304347826086,mon,oov,conc
